metric_name,value,unit,impact_level,priority,category,color_code,dashboard_section
Digital Publishing Explosion,1080.0,% growth,Massive,1,Market Opportunity,#FF1744,Overview
Post-2000 Dominance,82.0,% of catalog,Strategic,2,Market Validation,#FF6B35,Overview
Saga Strategy ROI,66.9,commercial points,High,3,Content Strategy,#FFD700,Authors
Author Commercial Potential,4.31,max rating,Benchmark,4,Quality Standard,#9C27B0,Authors
Publisher Specialization Advantage,90.0,% efficiency,Critical,5,Partnership Strategy,#4ECDC4,Publishers
Volume Strategy Limitation,36.0,% efficiency,Warning,6,Partnership Risk,#FF9800,Publishers
Power User Value Multiplier,15.0,x factor,Critical,7,User Strategy,#FFD700,Users
Engagement Prediction Threshold,40.0,% ratio,Predictive,8,User Identification,#4CAF50,Users
Content Length Optimization,6.7,% boost,Tactical,9,Algorithm Tuning,#3F51B5,Quality
User Base Contribution,14.6,% active writers,Operational,10,Community Health,#607D8B,Engagement
Platform Growth Opportunity,247.0,% ROI potential,Strategic,11,Business Case,#E91E63,Impact
Market Timing Advantage,68.0,years of data,Historical,12,Competitive Edge,#795548,Validation
